nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_3_e,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dlv_p,o_dlv_e,o_hops,legs
1,6523,844,584,90,297,700,1935,1415,431,2964,2888,180,239,257,0,0,0,0,626,3030,3016,300,286,431,835,526,256,3870,445,1,2
2,5878,4380,4119,90,280,456,905,547,700,0,0,0,0,0,0,0,0,0,12691,1433,642,240,969,700,1200,1280,349,550,1520,1,2
3,1275,759,169,240,777,173,340,577,349,0,0,0,0,0,0,0,0,0,12932,3963,3176,90,883,671,815,956,700,3780,159,1,1
4,8117,1597,1485,150,241,411,585,612,128,0,0,0,0,0,0,0,0,0,12805,152,179,180,131,166,230,167,128,4140,4797,1,1
5,9889,181,98,240,259,815,215,223,128,59,59,525,1934,128,0,0,0,0,6430,136,29,240,308,128,960,682,597,3960,467,2,1
6,3997,1300,212,240,1267,815,270,135,391,252,33,240,399,815,250,153,150,0,2544,329,81,570,763,391,80,79,281,2880,151,1,2
7,7125,139,87,240,232,783,255,154,815,303,110,240,371,815,0,0,0,0,6753,119,19,240,298,128,960,678,597,3960,161,1,3
8,10481,387,68,240,514,815,285,219,485,0,0,0,0,0,0,0,0,0,5570,933,1074,180,677,485,885,695,149,6680,2830,1,2
9,3212,6145,6013,300,385,690,810,635,555,0,0,0,0,0,0,0,0,0,13468,495,336,300,481,555,820,625,356,3960,218,1,1
10,12343,748,96,150,758,281,395,152,128,231,154,150,187,308,0,0,0,0,13961,1580,1088,240,685,128,905,581,413,3960,223,1,1
11,8473,1415,1157,150,346,377,280,179,485,0,0,0,0,0,0,0,0,0,11830,730,591,180,257,485,145,127,281,2880,20,1,2
12,9931,898,112,240,965,281,415,186,815,974,310,240,845,281,227,216,150,0,4744,238,59,135,254,815,280,319,485,5160,140,1,1
13,12666,3140,3004,240,324,445,995,808,128,1499,733,300,1059,413,0,0,0,0,600,395,40,165,475,128,1275,1058,413,3960,934,1,3
14,14132,142,136,240,182,456,1085,1093,349,2331,1814,180,653,671,447,538,180,0,3390,405,133,180,406,349,840,749,149,6680,164,1,2
15,13119,1081,413,180,859,753,1575,928,511,0,0,0,0,0,0,0,0,0,11725,37994,36949,90,1075,815,1210,983,700,3780,11,1,3
16,13572,778,254,420,894,349,1410,2375,548,1191,792,420,792,349,0,0,0,0,4551,2931,2589,240,532,548,920,720,128,3960,108,1,1
17,1388,27415,26485,90,963,815,1220,1027,700,3366,1315,90,2099,485,0,0,0,0,2421,927,390,90,565,700,2320,1527,411,3420,1681,1,2
18,4697,671,140,240,713,815,280,381,153,0,0,0,0,0,0,0,0,0,1321,3180,1730,90,1590,153,1240,733,700,3780,1115,1,2
